0,225072,1289338383
18,37305,82859497
36087,30152,45313594
35171,24857,14276218
73805,22494,20272656
86261,20118,19647527
36074,18321,30503041
38296,18252,6499661
34983,16825,16054567
33990,16669,28411352
32887,14620,20907566
36210,13177,13425697
86260,12922,9678156
32871,11628,11223897
16399,11584,19479298
12622064,10817,5001447
33975,9012,7970676
158884,8964,8971967
35121,8683,4736296
33391,8569,5830048
34478,8374,17103096
138986,8199,3874968
32965,7553,14155942
33088,6944,5532685
38274,6491,4626815
32880,6429,20890679
33765,6389,10108139
33157,6164,3202569
35438,6076,4140249
33495,5977,5383216
40444,5907,2153710
38054,5744,4871869
43508,5560,4068318
43743,5346,2503204
33294,5073,326273896
12616768,4968,2942676
35060,4714,1613799
37973,4553,4680357
36072,4403,2140333
32910,4150,11018461
405567,3758,3494175
590158,3725,3043814
35357,3600,988400
39723,3512,1385666
532326,3161,1719793
1702482,3030,756266
34485,2449,2503361
443067,2409,909265
33678,2322,31665560
39732,2277,955007
33664,2263,6123978
408304,2258,2114793
132353,2239,3228794
79443,2177,1939480
35930,2022,25737116
12604384,1981,594614
429814,1918,1872597
32776,1792,4424871
40578,1778,1089087
33505,1660,543081
10960,1597,24158317
32827,1537,6365940
32943,1530,5132406
3404960,1524,614948
35344,1511,2458886
32774,1478,4943881
136820,1388,622241
110922,1384,7206809
32877,1358,1201072
33045,1355,9790414
35218,1330,597371
35724,1290,439700
1180314,1248,547203
39926,1132,2421529
32988,1094,1971810
42470,1069,12266711
590159,1054,1253941
147539,1053,1514208
33525,1036,1877062
13382864,1027,2482269
42363,1026,3040923
32859,992,12550578
33350,987,1012105
12699,982,1892545
33026,974,5057124
4166040,929,553367
39727,896,633192
32890,885,14881784
36257,863,1713757
33034,847,2946970
273246,801,627689
40999,795,1377098
43493,732,1130173
13027984,720,433515
12701,715,69458604
32804,713,4941165
851742,705,3740922
32948,698,5224263
32911,698,620578
35210,677,1311642
49730,651,2004044
39717,633,329546
33643,633,55851
555851,624,400368
66146,609,291980
32916,599,474915
12367,598,2372560
33336,549,280182
153055,549,5377105
35,539,920343
33969,534,2246811
32772,526,789120
33117,518,506993
24799,508,356340
39713,507,3609912
32973,486,3965429
12596952,478,170647
6511440,477,197831
3351554,474,147844
66632,473,478016
33412,466,786167
6303224,459,1110194
39927,459,303090
33371,454,1071496
32903,447,69741098
32995,435,983927
43490,430,271981
1774715,418,89845
42042,410,1784848
36020,408,1334103
32939,401,9404430
32919,394,854745
32851,394,340956
66696,373,342931
265381,367,101541
38915,366,2044914
16761,365,1253047
33079,361,3581521
36307,359,1203714
33519,358,1809663
34457,352,243463
32852,350,1574300
32931,344,901207
34030,342,1655411
19479,338,343528
38650,335,626608
3404962,334,85434
24787,334,562971
141531,321,43979
36092,319,188850
66078,313,190176
10121,308,3872611
33783,305,211390
33103,296,660020
264705,295,105619
33210,291,654411
34031,290,389790
33707,288,83447
42607,286,100908
49419,284,717307
40047,284,172271
12586192,284,13923740
12605536,282,89915
40046,280,1297858
33020,279,724780
268032,279,72662
2247,279,860236
33751,275,1405558
32998,272,448665
33021,270,1494103
4865,268,121568
33025,267,750844
33189,266,1145522
33129,265,2419208
165877,265,1876212
38313,262,850899
33144,261,79002
33406,260,1136790
50952,259,166361
32962,259,915581
42091,258,1799959
36022,258,402966
34372,257,663836
12584392,256,191913
32979,255,270652
32994,250,535719
885047,248,1151081
33407,248,1117891
204871,248,603336
50961,247,372411
32881,245,1063570
33517,241,196572
1064654,240,137803
35982,238,2833557
17346,238,2603183
6478,237,916897
36982,235,1035249
1717454,235,58154
38535,234,275511
33369,234,697518
33506,232,763799
49448,231,101426
33109,229,40984
33023,227,3793822
37988,226,844814
34975,226,136078
33154,224,525178
16632,219,1749032
32976,218,5997492
6821840,217,49510
36051,217,1004759
32885,217,6708781
32872,217,969315
33366,215,106227
32879,212,1287217
36309,211,389885
12592272,211,243256
86837,210,25666931
576320,209,831866
34027,208,142201
33003,208,768257
39992,207,958360
32932,207,605459
33654,206,264413
40584,205,2595309
42331,204,234284
37471,204,62441
40374,201,72572
38616,201,608511
65701,200,52357
33752,199,52073
33124,199,72816
32863,199,1763913
33046,198,1044808
12633464,198,21823
38499,196,810862
36456,195,861151
32906,195,460518
33492,194,51433
33345,194,166982
33098,194,277823
33997,192,511872
33738,191,63728
33132,190,154140
32807,186,889238
35298,185,794760
54491,183,746370
32955,183,58899
33368,182,329844
33152,181,51049
816610,180,62073
37641,180,230196
33365,179,860037
12591368,179,32100
33031,178,239709
32831,178,112266
36308,177,142180
35223,177,84106
32869,177,34731
32896,175,510008
2433,175,217778
36313,172,536267
3564,172,111579
33266,172,463468
32942,172,201695
32999,169,133078
38531,168,1831980
35987,167,164956
40969,166,23308
38269,166,880523
33243,166,130424
32800,166,124732
3276850,166,48762
321960,166,2542705
49614,164,1778336
40680,164,251052
34392,164,331213
33131,164,50601
13408560,164,139882
106450,164,270426
36856,163,1292979
4948576,162,274967
38303,162,407972
35301,162,90496
32980,162,35596
33012,161,1888308
73873,160,113260
67925,160,78272
39953,160,1925083
33630,159,251289
33056,159,1908070
32780,159,453727
963,157,105488
33048,157,178005
33000,157,154434
71349,156,624888
35415,156,86812
40281,155,71696
33515,155,77260
36195,154,76299
36094,154,58120
33488,154,441802
