0,453021,456469928
36074,22317,5111268
35171,11746,95428029
12594160,9692,918260
38296,8413,60505589
32880,6276,65318259
86260,4925,41556153
33157,4897,20770493
86261,4468,70514101
42042,4104,7325202
32869,4018,8461298
35121,3919,29952945
35,3756,5537953
138986,3603,24973408
18,3488,22538036
158884,3395,21186382
12622064,2971,6343290
43493,2970,4362463
38054,2957,21788268
33294,2795,2263032
32877,2514,452278
36087,2500,28806518
32965,2476,32554741
35060,2373,10304270
33505,2317,2590724
10960,2237,1784758
40444,2029,10454709
43496,2022,1790395
50952,2013,13374058
34388,1988,7354681
32979,1978,5789934
33023,1962,13824871
43494,1922,485821
405567,1911,7974586
32887,1907,6691097
12616768,1867,12091506
33210,1834,8189925
12699,1802,2419273
33678,1776,26859123
37729,1733,10383067
50961,1718,13233943
32991,1715,13637828
532326,1621,7199518
39723,1620,8837966
36022,1603,6587699
43495,1588,1221072
41054,1548,27800294
1702482,1541,9076848
34983,1512,60102873
32804,1454,4810257
590158,1390,12535038
13266,1383,4984167
33034,1365,2518502
35662,1357,2384371
33103,1342,2121275
38915,1315,17131133
32943,1313,5044160
37858,1312,18732357
32774,1304,2143683
33045,1267,4349374
73805,1260,15310923
53054,1260,3283821
35357,1256,8521772
35686,1236,7160734
555851,1235,15639041
13144000,1202,1989885
36072,1174,10618830
66078,1172,3489459
443067,1170,5783463
40578,1158,8083608
33129,1155,1479621
66079,1139,14600483
40281,1132,9521435
32871,1129,1685729
33412,1110,41591765
38303,1095,10712513
39713,1063,5268383
96524,1049,1439673
42363,1046,4815763
34031,1038,2728201
33990,1037,11369036
22872,1036,4964402
39926,1013,2159855
36307,1002,680952
42470,991,12813468
50877,974,1714724
36305,962,2070084
32859,955,1407480
32948,940,9267220
13382864,940,5538817
32800,936,1606277
32827,930,3107543
32986,923,2643437
36321,919,6147076
40946,918,7473129
33664,903,3591376
33748,897,5587657
42091,896,1780661
53633,895,2765334
34333,891,5732965
32776,883,531846
33088,864,3036773
110922,861,3776452
35930,849,2876325
33643,847,588900
42051,846,2872325
604128,837,6375227
33969,829,8206321
32976,826,4648093
33098,815,2788828
33350,811,448163
33268,793,1634534
32822,791,2959407
36210,774,12072806
32982,774,5479424
